place,particular_place,lat_dd,long_dd
"Cape Horn is the southernmost headland of the Tierra del Fuego archipelago of southern Chile, and is located on the small Hornos Island",Cape Horn,-55.98,-67.29
"The Taj Mahal is an ivory-white marble mausoleum on the right bank of the river Yamuna in Agra, Uttar Pradesh, India",Taj Mahal,27.175,78.042
"The Statue of Liberty is a colossal neoclassical sculpture on Liberty Island in New York Harbor, within New York City",Statue of Liberty,40.689,-74.044
"Machu Picchu is a 15th-century Inca citadel located in the Eastern Cordillera of southern Peru on a mountain ridge at 2,430 meters (7,970 ft)",Machu Picchu,-13.16,-72.55
"The Colosseum is an elliptical amphitheatre in the centre of the city of Rome, Italy, just east of the Roman Forum",Colosseum,41.89,12.49
"Christ the Redeemer is an Art Deco statue of Jesus in Rio de Janeiro, Brazil, created by French-Polish sculptor Paul Landowski and built by Brazilian engineer Heitor da Silva Costa, in collaboration with French engineer Albert Caquot",Christ the Redeemer (statue),-22.95,-43.21
"Chichén Itzá was a large pre-Columbian city built by the Maya people of the Terminal Classic period",Chichen Itza,20.683056,-88.568611
"The Acropolis of Athens is an ancient citadel located on a rocky outcrop above the city of Athens, Greece, and contains the remains of several ancient buildings of great architectural and historical significance, the most famous being the Parthenon",Acropolis of Athens,37.971667,23.726111
"The Sydney Opera House is a multi-venue performing arts centre in Sydney, New South Wales, Australia",Sydney Opera House,-33.857058,151.214897
"The Svalbard Global Seed Vault is a secure backup facility for the world's crop diversity on the Norwegian island of Spitsbergen in the remote Arctic Svalbard archipelago",Svalbard Global Seed Vault,78.24,15.49
"Stonehenge is a prehistoric megalithic structure on Salisbury Plain in Wiltshire, England, two miles (3 km) west of Amesbury",Stonehenge,51.179,-1.826
"The Potala Palace is a dzong fortress in Lhasa, capital of the Tibet Autonomous Region in China",Potala Palace,29.658,91.117
"The Golden Gate Bridge is a suspension bridge spanning the Golden Gate, the one-mile-wide (1.6 km) strait connecting San Francisco Bay and the Pacific Ocean",Golden Gate Bridge,37.82,-122.48
